txn_id,timestamp,amount,payment_method,bank,failure_reason,attempt_no,hour_of_day,is_weekend,customer_past_success_rate,minutes_since_last_failure,is_flagged_risk,retry_succeeded
txn_000075,2026-07-29T02:55:00,198.33,card,idfc,issuer_declined,1,0,1,0.495,15,0,0
txn_000076,2026-06-28T12:08:00,577.39,upi,axis,gateway_error,2,17,0,0.55,30,0,0
txn_000077,2026-06-15T01:33:00,225.39,upi,sbi,invalid_otp,2,12,0,0.699,30,0,0
txn_000078,2026-07-04T10:27:00,23882.54,upi,other,risk_block,1,8,1,0.26,720,1,0
txn_000079,2026-06-02T22:39:00,524.66,netbanking,hdfc,card_expired,2,3,0,0.836,180,0,0
txn_000080,2026-06-12T19:58:00,851.77,netbanking,axis,insufficient_funds,1,7,0,0.732,720,0,0
txn_000081,2026-07-09T07:36:00,908.66,card,icici,card_expired,2,0,0,0.69,15,0,1
txn_000082,2026-07-30T23:23:00,570.78,upi,other,card_expired,1,18,1,0.776,720,0,0
txn_000083,2026-06-14T12:02:00,135.55,wallet,hdfc,card_expired,1,12,0,0.669,1,0,0
txn_000084,2026-07-21T04:24:00,380.61,netbanking,yesbank,insufficient_funds,2,9,0,0.973,720,0,0
txn_000085,2026-07-05T01:40:00,590.82,card,idfc,issuer_declined,1,10,0,0.698,15,0,0
txn_000086,2026-07-08T09:25:00,402.09,wallet,icici,gateway_error,1,11,0,0.5,15,0,0
txn_000087,2026-06-26T08:32:00,342.66,wallet,hdfc,bank_server_down,1,6,1,0.827,60,0,1
txn_000088,2026-06-17T12:17:00,1213.32,wallet,hdfc,card_expired,1,22,1,0.67,15,0,0
txn_000089,2026-06-30T12:37:00,105.39,wallet,icici,risk_block,1,0,1,0.563,5,1,0
txn_000090,2026-07-24T23:43:00,552.04,upi,hdfc,issuer_declined,1,19,0,0.723,30,0,1
txn_000091,2026-07-21T20:33:00,1341.52,netbanking,hdfc,network_timeout,2,3,1,0.808,180,0,1
txn_000092,2026-07-29T06:24:00,313.26,netbanking,icici,issuer_declined,3,13,1,0.89,60,0,0
txn_000093,2026-07-24T14:24:00,174.33,upi,idfc,network_timeout,2,19,0,0.581,1,0,1
txn_000094,2026-07-29T17:59:00,61.64,upi,idfc,network_timeout,1,2,0,0.286,15,0,1
txn_000095,2026-07-22T07:29:00,289.7,card,icici,issuer_declined,2,19,1,1.0,180,0,0
txn_000096,2026-07-17T04:17:00,4204.34,wallet,yesbank,issuer_declined,1,4,0,0.478,60,0,0
txn_000097,2026-07-23T19:44:00,166.96,wallet,other,insufficient_funds,2,9,1,0.89,60,0,1
txn_000098,2026-07-02T06:15:00,4032.26,upi,other,card_expired,1,6,0,0.762,1,0,0
txn_000099,2026-06-06T23:59:00,921.27,upi,sbi,gateway_error,2,9,0,0.692,180,0,1
txn_000100,2026-06-30T21:34:00,234.82,wallet,kotak,bank_server_down,1,21,0,0.879,30,0,1
txn_000101,2026-06-15T02:28:00,676.08,upi,idfc,issuer_declined,1,9,1,0.938,5,0,0
txn_000102,2026-06-16T01:37:00,7880.39,upi,hdfc,insufficient_funds,1,19,1,0.918,720,0,0
txn_000103,2026-07-13T16:34:00,266.88,upi,idfc,issuer_declined,2,14,0,0.751,5,0,0
txn_000104,2026-07-26T00:54:00,1455.75,card,yesbank,gateway_error,1,14,0,0.54,5,0,0
txn_000105,2026-06-25T19:55:00,5521.36,netbanking,hdfc,insufficient_funds,2,17,0,0.617,1,0,0
txn_000106,2026-06-10T00:27:00,2666.07,card,idfc,network_timeout,1,12,0,0.914,1,0,1
txn_000107,2026-06-02T17:30:00,254.93,netbanking,sbi,issuer_declined,1,15,0,0.66,1,0,0
txn_000108,2026-07-16T11:53:00,237.3,card,idfc,bank_server_down,1,9,1,0.541,1,0,1
txn_000109,2026-07-03T19:45:00,1190.23,upi,axis,invalid_otp,1,0,0,0.464,1,0,1
txn_000110,2026-07-23T23:11:00,473.14,upi,idfc,insufficient_funds,2,23,1,0.538,180,0,1
txn_000111,2026-06-13T06:35:00,100.08,netbanking,sbi,issuer_declined,2,20,1,0.419,180,0,1
txn_000112,2026-06-24T01:22:00,442.46,wallet,hdfc,insufficient_funds,1,6,0,0.646,720,0,0
txn_000113,2026-07-06T04:38:00,194.12,card,kotak,insufficient_funds,1,20,0,0.436,180,0,0
txn_000114,2026-06-27T17:44:00,1179.57,card,other,bank_server_down,1,16,1,0.531,720,0,1
txn_000115,2026-07-03T02:10:00,1030.58,upi,yesbank,bank_server_down,1,19,0,0.516,180,0,1
txn_000116,2026-06-03T20:01:00,2349.99,wallet,kotak,invalid_otp,2,1,1,0.485,180,0,1
txn_000117,2026-07-04T18:23:00,264.22,wallet,hdfc,insufficient_funds,1,20,0,0.471,180,0,0
txn_000118,2026-07-22T02:59:00,729.5,upi,sbi,network_timeout,3,20,1,0.847,60,0,1
txn_000119,2026-07-11T12:21:00,166.04,netbanking,other,insufficient_funds,1,22,0,1.0,30,0,1
txn_000120,2026-07-03T21:41:00,1601.51,netbanking,yesbank,gateway_error,2,9,0,0.611,180,0,1
txn_000121,2026-06-08T20:20:00,1369.36,upi,axis,card_expired,1,15,1,0.475,60,0,1
txn_000122,2026-06-12T16:21:00,820.62,wallet,other,insufficient_funds,3,18,1,0.583,180,0,0
txn_000123,2026-07-18T05:32:00,160.12,card,sbi,risk_block,1,1,0,0.68,180,1,0
txn_000124,2026-07-27T20:11:00,213.77,upi,kotak,risk_block,1,19,0,0.953,5,1,1
txn_000125,2026-06-28T11:56:00,1007.54,netbanking,hdfc,issuer_declined,2,18,0,0.439,15,0,0
txn_000126,2026-06-30T01:33:00,501.93,wallet,kotak,network_timeout,1,5,0,0.798,15,0,1
txn_000127,2026-06-27T09:58:00,219.88,netbanking,idfc,issuer_declined,1,17,1,0.877,5,0,1
txn_000128,2026-07-06T19:03:00,1113.28,wallet,axis,gateway_error,1,5,0,0.548,1,0,1
txn_000129,2026-06-10T18:49:00,784.72,card,axis,card_expired,2,9,0,0.592,60,0,1
txn_000130,2026-07-21T01:10:00,1458.67,netbanking,yesbank,network_timeout,1,12,1,0.613,30,0,1
txn_000131,2026-06-05T02:58:00,2919.51,upi,sbi,bank_server_down,1,10,0,0.887,30,0,1
txn_000132,2026-06-28T05:41:00,694.27,netbanking,other,insufficient_funds,3,16,1,0.637,60,0,0
txn_000133,2026-07-28T06:38:00,633.85,wallet,kotak,invalid_otp,3,10,0,0.411,180,0,0
txn_000134,2026-06-14T10:49:00,2284.4,wallet,kotak,insufficient_funds,1,23,1,0.404,720,0,0
txn_000135,2026-07-26T15:47:00,1050.77,card,hdfc,issuer_declined,1,6,1,0.898,30,0,0
txn_000136,2026-07-03T05:57:00,720.75,upi,sbi,gateway_error,1,21,0,0.934,60,0,1
txn_000137,2026-07-15T12:14:00,307.75,netbanking,other,invalid_otp,3,17,0,1.0,180,0,1
txn_000138,2026-06-04T19:53:00,260.11,netbanking,kotak,bank_server_down,3,17,0,0.927,720,0,1
txn_000139,2026-06-23T01:39:00,1204.5,upi,yesbank,bank_server_down,1,17,1,0.707,180,0,1
txn_000140,2026-07-14T07:10:00,157.69,card,axis,insufficient_funds,2,22,0,1.0,5,0,1
txn_000141,2026-06-16T22:26:00,256.46,card,kotak,network_timeout,1,2,0,0.692,1,0,0
txn_000142,2026-07-22T16:43:00,3152.27,card,hdfc,network_timeout,2,15,1,0.835,1,0,1
txn_000143,2026-07-01T02:23:00,523.13,netbanking,kotak,invalid_otp,3,16,0,0.853,5,0,0
txn_000144,2026-06-30T20:22:00,430.08,wallet,kotak,insufficient_funds,1,21,0,0.984,720,0,0
txn_000145,2026-07-23T03:28:00,3787.72,upi,sbi,insufficient_funds,1,7,1,0.571,15,0,1
txn_000146,2026-06-27T20:31:00,360.27,netbanking,axis,insufficient_funds,2,16,0,0.758,180,0,0
txn_000147,2026-06-20T21:07:00,3477.19,card,axis,bank_server_down,2,14,0,0.502,30,0,1
txn_000148,2026-06-30T20:47:00,722.92,upi,other,issuer_declined,2,18,1,0.83,60,0,1
txn_000149,2026-07-22T07:52:00,2212.51,wallet,icici,risk_block,1,15,1,0.799,60,1,0
txn_000150,2026-06-06T11:37:00,1336.13,wallet,kotak,insufficient_funds,1,0,0,0.896,1,0,0
txn_000151,2026-07-05T08:39:00,149.18,upi,other,gateway_error,3,4,0,0.593,30,0,0
txn_000152,2026-07-19T10:01:00,527.81,card,yesbank,network_timeout,2,7,0,0.941,180,0,1
txn_000153,2026-06-02T10:10:00,609.14,card,axis,network_timeout,2,6,0,0.996,30,0,1
txn_000154,2026-06-06T03:18:00,916.22,upi,icici,bank_server_down,1,21,0,0.708,5,0,1
txn_000155,2026-07-18T10:41:00,6121.51,netbanking,axis,insufficient_funds,2,10,0,0.781,5,0,0
txn_000156,2026-07-08T21:28:00,1007.35,netbanking,kotak,bank_server_down,1,15,1,0.598,60,0,1
txn_000157,2026-07-08T21:52:00,182.91,netbanking,idfc,network_timeout,1,7,0,0.625,1,0,0
txn_000158,2026-06-25T10:27:00,361.73,card,idfc,card_expired,1,20,1,0.549,720,0,0
txn_000159,2026-06-02T09:29:00,56.3,upi,icici,network_timeout,1,23,0,0.831,15,0,1
txn_000160,2026-07-05T15:34:00,4430.97,card,icici,insufficient_funds,2,7,0,0.602,15,0,0
txn_000161,2026-07-04T17:49:00,264.12,netbanking,kotak,network_timeout,2,15,0,0.662,15,0,0
txn_000162,2026-07-21T02:53:00,847.13,upi,axis,bank_server_down,1,23,0,0.626,720,0,1
txn_000163,2026-07-20T17:56:00,1757.85,netbanking,kotak,invalid_otp,1,23,0,0.895,5,0,1
txn_000164,2026-07-14T23:34:00,866.65,upi,hdfc,network_timeout,1,4,1,0.526,180,0,0
txn_000165,2026-07-10T04:36:00,737.5,upi,hdfc,invalid_otp,1,0,0,0.757,720,0,0
txn_000166,2026-07-07T22:58:00,3493.57,card,icici,issuer_declined,1,7,1,0.783,30,0,1
txn_000167,2026-07-14T07:50:00,74.04,card,axis,network_timeout,2,2,0,0.725,30,0,1
txn_000168,2026-07-14T06:44:00,1001.16,upi,sbi,insufficient_funds,3,3,0,0.775,180,0,0
txn_000169,2026-07-07T06:05:00,3738.15,upi,kotak,bank_server_down,2,1,1,0.856,5,0,1
txn_000170,2026-06-08T03:19:00,878.79,netbanking,sbi,gateway_error,1,12,0,0.475,720,0,0
txn_000171,2026-07-28T17:15:00,247.47,netbanking,hdfc,card_expired,2,2,0,0.913,720,0,0
txn_000172,2026-06-23T10:22:00,211.07,wallet,other,bank_server_down,2,12,0,0.675,60,0,1
txn_000173,2026-06-25T13:18:00,69.19,upi,kotak,issuer_declined,1,20,1,0.664,15,0,0
txn_000174,2026-07-06T01:33:00,495.71,upi,sbi,insufficient_funds,1,16,0,0.666,60,0,0
txn_000175,2026-06-25T11:27:00,4512.48,wallet,idfc,insufficient_funds,3,17,0,0.61,30,0,0
txn_000176,2026-07-25T01:11:00,154.8,wallet,sbi,bank_server_down,2,13,0,0.411,180,0,1
txn_000177,2026-07-25T02:28:00,191.95,wallet,icici,invalid_otp,1,12,0,0.533,720,0,1
txn_000178,2026-06-30T15:54:00,633.86,netbanking,axis,insufficient_funds,1,12,0,0.641,60,0,0
txn_000179,2026-06-20T01:59:00,125.14,wallet,yesbank,network_timeout,1,18,0,0.725,180,0,1
txn_000180,2026-07-25T10:12:00,472.28,netbanking,icici,network_timeout,1,20,0,0.839,30,0,1
txn_000181,2026-07-30T20:33:00,985.9,wallet,idfc,network_timeout,2,11,0,0.351,1,0,0
txn_000182,2026-06-21T04:58:00,930.84,card,hdfc,invalid_otp,2,20,0,0.927,1,0,1
txn_000183,2026-06-08T19:33:00,427.34,card,other,card_expired,1,21,0,0.695,1,0,0
txn_000184,2026-06-28T07:56:00,346.63,card,yesbank,insufficient_funds,1,6,0,0.982,30,0,1
txn_000185,2026-07-21T23:00:00,4323.42,upi,hdfc,insufficient_funds,3,21,0,0.706,60,0,1
txn_000186,2026-07-10T02:22:00,3034.0,wallet,axis,network_timeout,1,5,0,0.991,5,0,1
txn_000187,2026-06-24T21:07:00,162.07,card,axis,network_timeout,2,2,0,0.534,5,0,1
txn_000188,2026-06-28T01:46:00,1065.06,wallet,yesbank,invalid_otp,1,18,1,0.601,180,0,0
txn_000189,2026-07-09T12:08:00,418.64,upi,sbi,gateway_error,2,3,1,0.512,5,0,1
txn_000190,2026-07-05T22:44:00,650.19,card,sbi,insufficient_funds,2,10,0,1.0,30,0,1
txn_000191,2026-06-21T11:10:00,1207.65,wallet,idfc,gateway_error,1,14,0,1.0,15,0,1
txn_000192,2026-07-20T08:06:00,1146.74,card,other,card_expired,1,15,0,0.98,720,0,0
txn_000193,2026-06-22T13:36:00,1306.85,upi,other,issuer_declined,1,1,0,0.808,1,0,0
txn_000194,2026-06-30T11:01:00,319.81,netbanking,idfc,insufficient_funds,2,6,0,0.497,60,0,0
txn_000195,2026-06-06T09:30:00,11889.47,netbanking,kotak,gateway_error,2,16,0,1.0,720,0,1
txn_000196,2026-07-05T03:34:00,129.44,card,sbi,gateway_error,2,7,0,0.458,15,0,1
txn_000197,2026-07-12T17:29:00,692.86,upi,idfc,network_timeout,1,11,0,0.369,720,0,1
txn_000198,2026-07-22T12:45:00,1679.78,netbanking,icici,invalid_otp,1,13,0,0.648,60,0,1
txn_000199,2026-07-07T01:49:00,33.87,netbanking,hdfc,risk_block,1,8,1,0.977,180,1,1
txn_000200,2026-07-02T06:32:00,1790.5,card,idfc,invalid_otp,1,0,1,0.519,30,0,1
txn_000201,2026-06-13T02:51:00,629.81,wallet,sbi,issuer_declined,1,2,0,0.56,5,0,0
txn_000202,2026-07-11T06:24:00,704.91,card,icici,invalid_otp,1,20,1,0.796,30,0,1
txn_000203,2026-06-23T14:07:00,306.51,upi,icici,risk_block,3,23,0,0.677,15,1,0
txn_000204,2026-06-22T18:50:00,4545.39,netbanking,hdfc,card_expired,2,9,1,0.795,180,0,1
txn_000205,2026-07-22T17:38:00,663.85,upi,axis,network_timeout,1,16,0,0.608,30,0,1
txn_000206,2026-06-26T06:08:00,687.86,card,other,network_timeout,1,16,0,0.486,60,0,1
txn_000207,2026-06-23T06:04:00,301.71,upi,axis,insufficient_funds,1,20,0,0.617,720,0,1
txn_000208,2026-06-15T21:53:00,531.16,wallet,icici,insufficient_funds,2,9,0,0.734,5,0,0
txn_000209,2026-06-06T19:31:00,323.81,netbanking,kotak,network_timeout,1,8,0,0.866,30,0,1
txn_000210,2026-06-11T11:57:00,582.82,upi,other,bank_server_down,1,15,0,0.91,60,0,1
txn_000211,2026-07-09T04:07:00,172.94,upi,hdfc,bank_server_down,3,4,1,1.0,180,0,1
txn_000212,2026-06-05T04:19:00,2108.93,card,idfc,bank_server_down,1,2,0,0.69,5,0,0
txn_000213,2026-07-04T12:30:00,449.89,upi,other,gateway_error,1,14,1,0.563,60,0,1
txn_000214,2026-06-01T20:57:00,1750.12,wallet,axis,invalid_otp,3,7,1,0.967,180,0,0
txn_000215,2026-06-09T11:13:00,7438.06,upi,idfc,gateway_error,3,3,1,0.274,5,0,0
txn_000216,2026-06-06T16:03:00,1216.82,card,idfc,insufficient_funds,1,23,1,0.968,1,0,0
txn_000217,2026-06-13T09:20:00,47.61,card,axis,network_timeout,2,12,0,0.654,1,0,0
txn_000218,2026-06-11T21:57:00,172.1,upi,sbi,issuer_declined,1,10,0,0.853,15,0,0
txn_000219,2026-07-07T19:24:00,66.85,netbanking,hdfc,insufficient_funds,1,11,0,0.608,5,0,1
txn_000220,2026-07-04T21:10:00,461.62,card,icici,risk_block,1,4,1,0.747,5,1,0
txn_000221,2026-07-23T05:40:00,2820.33,upi,kotak,invalid_otp,2,2,0,0.691,30,0,1
txn_000222,2026-06-27T20:40:00,303.0,wallet,other,network_timeout,1,5,1,0.884,60,0,1
txn_000223,2026-06-02T18:39:00,188.49,wallet,hdfc,network_timeout,2,13,1,0.441,720,0,1
txn_000224,2026-06-26T13:42:00,782.91,netbanking,other,gateway_error,1,18,0,0.795,5,0,1
txn_000225,2026-06-16T19:28:00,995.83,wallet,yesbank,insufficient_funds,3,23,1,0.794,720,0,0
txn_000226,2026-06-09T05:10:00,875.45,netbanking,yesbank,insufficient_funds,2,6,0,0.966,5,0,0
txn_000227,2026-06-06T10:06:00,699.21,card,hdfc,insufficient_funds,1,19,1,0.628,720,0,0
txn_000228,2026-07-10T18:21:00,2663.64,card,icici,insufficient_funds,1,21,0,0.685,5,0,0
txn_000229,2026-07-23T03:22:00,1335.72,wallet,yesbank,issuer_declined,1,18,0,0.703,5,0,0
txn_000230,2026-07-02T13:37:00,7684.43,upi,sbi,network_timeout,1,19,1,0.822,180,0,1
txn_000231,2026-06-10T20:00:00,4186.15,card,icici,gateway_error,1,23,0,0.706,1,0,1
txn_000232,2026-07-23T14:46:00,544.09,upi,idfc,issuer_declined,1,5,0,0.538,1,0,0
txn_000233,2026-06-15T15:30:00,420.83,card,sbi,invalid_otp,1,1,0,0.795,5,0,0
txn_000234,2026-06-10T05:12:00,1052.87,upi,yesbank,issuer_declined,1,15,0,0.564,30,0,1
txn_000235,2026-07-15T16:29:00,2537.07,card,idfc,bank_server_down,2,23,0,0.694,30,0,1
txn_000236,2026-06-08T10:59:00,548.04,netbanking,hdfc,insufficient_funds,1,21,0,0.832,180,0,1
txn_000237,2026-07-11T13:48:00,1837.43,upi,kotak,network_timeout,2,21,1,0.574,30,0,1
txn_000238,2026-07-08T16:22:00,42.93,wallet,other,insufficient_funds,2,18,1,0.678,15,0,0
txn_000239,2026-07-16T16:51:00,477.91,card,hdfc,gateway_error,1,15,0,0.659,720,0,1
txn_000240,2026-07-28T02:11:00,3098.68,card,icici,card_expired,2,5,0,0.867,180,0,0
txn_000241,2026-07-27T17:05:00,174.98,netbanking,yesbank,insufficient_funds,2,12,0,0.277,1,0,0
txn_000242,2026-06-27T00:58:00,550.3,wallet,icici,invalid_otp,3,18,0,0.796,720,0,1
txn_000243,2026-07-07T13:34:00,183.22,netbanking,idfc,risk_block,1,18,0,0.702,60,1,0
txn_000244,2026-06-09T22:33:00,131.54,netbanking,axis,insufficient_funds,1,8,0,0.79,15,0,0
txn_000245,2026-07-08T01:28:00,153.06,card,sbi,gateway_error,1,10,1,0.641,5,0,0
txn_000246,2026-06-18T13:05:00,688.33,netbanking,hdfc,issuer_declined,1,9,0,0.766,60,0,1
txn_000247,2026-06-03T18:45:00,278.74,card,hdfc,risk_block,1,11,0,0.826,180,1,0
txn_000248,2026-06-15T19:52:00,855.89,wallet,other,bank_server_down,1,5,0,0.762,1,0,1
txn_000249,2026-06-13T01:02:00,1576.41,card,axis,risk_block,1,8,0,1.0,180,1,1
txn_000250,2026-06-23T22:29:00,60.51,upi,axis,invalid_otp,2,9,0,0.653,720,0,1
txn_000251,2026-06-10T20:09:00,781.03,netbanking,idfc,insufficient_funds,2,21,0,0.471,15,0,1
txn_000252,2026-06-06T04:01:00,4516.56,netbanking,kotak,network_timeout,3,8,0,0.645,60,0,0
txn_000253,2026-07-23T01:38:00,2261.59,wallet,yesbank,issuer_declined,1,20,0,0.89,180,0,1
txn_000254,2026-07-21T19:30:00,1758.3,netbanking,axis,issuer_declined,2,15,0,0.334,720,0,0
txn_000255,2026-06-21T07:52:00,258.0,upi,other,insufficient_funds,1,17,0,0.643,1,0,1
txn_000256,2026-07-27T11:50:00,1499.69,netbanking,idfc,issuer_declined,1,8,0,0.769,180,0,0
txn_000257,2026-07-22T19:52:00,2041.75,card,icici,insufficient_funds,2,9,0,1.0,15,0,1
txn_000258,2026-06-20T01:24:00,196.64,wallet,sbi,risk_block,2,2,0,0.846,1,1,0
txn_000259,2026-06-04T10:24:00,612.05,card,sbi,issuer_declined,1,2,1,0.529,30,0,0
